id,dates,article,quantite,prix-achat,prix_vente,vendeur,client,quartier
FH7139-CD,10/3/2018,verre,586,5.99,164.02,Carole,Maçon,Be Klikame
PY6420-RC,10/3/2018,bois,324,39.99,96.74,Colette,Maçon,Agbalepedo
JI7871-MF,10/3/2018,ciment,925,89.99,270.45,Colette,Particulier,Aflao Gakli
RY2488-OA,7/8/2020,verre,188,24.99,494.64,Jean,Entrepreneur,Nyékonakpoé
LO8942-EA,5/12/2019,acier,358,3.99,384.47,Ana,Maçon,Agbalépédogan
NG4005-BR,3/4/2017,acier,430,34.99,157.51,Ana,Entrepreneur,Agbalépédogan
NC9517-HJ,3/4/2017,brique,982,39.99,92.54,Jean,Maçon,Agbalepedogan
IC2499-TP,7/8/2020,acier,196,17.99,447.47,Colette,Maçon,Nyékonakpoé
MI5390-OF,10/3/2018,acier,413,3.49,142.72,Luc,Maçon,Adakpamé
SG9857-QA,5/12/2019,verre,282,3.39,294.09,Ana,Maçon,Agbalepedogan
OS5142-BF,7/8/2020,verre,796,99.99,179.1,Carole,Particulier,Agbalépédogan
XG5617-EG,7/8/2020,bois,265,19.99,305.23,Jean,Particulier,Agbalépédogan
ZP4568-LF,3/4/2017,brique,932,3.29,248.69,Carole,Particulier,Djidjolé
BA1259-XP,7/8/2020,ciment,97,2.99,363.41,Colette,Particulier,Agbalépédogan
TY9994-CG,1/1/2021,ciment,190,24.99,400.85,Ana,Particulier,Agbalépédogan
UE8728-BE,7/8/2020,verre,935,59.99,362.33,Carole,Particulier,Agbalépédogan
LR4112-QF,7/8/2020,ciment,635,49.99,103.17,Jean,Entrepreneur,Agbalépédogan
FJ6479-TD,7/8/2020,bois,83,99.99,492.66,Colette,Particulier,Agbalépédogan
FU7107-OI,10/3/2018,bois,701,34.99,423.08,Julien,Maçon,Agbalépédogan
MU3754-PR,3/4/2017,acier,372,39.99,347.83,Colette,Particulier,Aflao Gakli
YL5376-DP,10/3/2018,brique,22,29.99,367.37,Jean,Maçon,Agbalepedogan
PH0493-UD,7/8/2020,verre,994,3.99,74.22,Jean,Particulier,Agbalépédogan
UQ0038-XD,5/12/2019,bois,576,2.79,362.42,Julien,Particulier,Aflao Gakli
EJ0405-YI,3/4/2017,brique,879,24.99,166.81,Carole,Maçon,Bè
MG2934-HN,5/12/2019,verre,701,16.99,181.4,Jean,Maçon,Agbalépédogan
QZ6362-XA,5/12/2019,brique,996,39.99,415.89,Julien,Entrepreneur,Agbalepedogan
CX8969-AI,3/4/2017,bois,54,19.99,272.86,Julien,Entrepreneur,Agbalepedogan
GF2990-YC,7/8/2020,brique,413,4.29,475.84,Luc,Maçon,Agbalepedogan
LT3098-FQ,3/4/2017,verre,727,5.99,485.73,Carole,Maçon,Agbalepedogan
SX6409-PV,5/12/2019,ciment,665,29.99,59.26,Luc,Entrepreneur,Kodjoviakopé
QI5470-ZQ,7/8/2020,ciment,673,29.99,397.84,Colette,Entrepreneur,Agbalepedogan
NU6715-UP,3/4/2017,bois,892,2.99,416.71,Carole,Particulier,Agbalépédogan
EN4546-NF,7/8/2020,verre,416,3.99,205.02,Ana,Particulier,Agbalépédo
QC6042-PQ,3/4/2017,brique,365,3.19,211.63,Julien,Particulier,Agbalépédogan
UM3183-TF,7/8/2020,ciment,855,19.99,305.25,Julien,Entrepreneur,Agbalepedogan
DI7070-EO,7/8/2020,verre,252,2.99,424.65,Jean,Entrepreneur,Agbalépédogan
EZ6915-YL,5/12/2019,acier,956,24.99,456.71,Jean,Maçon,Agbalepedogan
GO0349-MD,5/12/2019,verre,313,15.99,434.68,Julien,Entrepreneur,Agbalepedogan
CJ9490-PF,1/1/2021,bois,513,2.99,406.14,Carole,Particulier,Agbalépédogan
ND1587-DX,10/3/2018,bois,443,6.49,476.36,Jean,Maçon,Agoe
HW0010-NT,1/1/2021,ciment,594,15.99,299.09,Colette,Maçon,Agbalépédogan
UD5657-GS,1/1/2021,acier,658,29.99,448.46,Julien,Maçon,Agbalepedogan
FX0189-OZ,10/3/2018,bois,331,4.59,393.44,Carole,Entrepreneur,Agbalépédogan
YH2009-OD,1/1/2021,bois,633,29.99,316.64,Luc,Entrepreneur,Agbalepedogan
RB8350-WF,3/4/2017,acier,21,29.99,462.41,Ana,Particulier,Agbalepedo
PA7168-LO,7/8/2020,bois,495,5.49,281.2,Carole,Maçon,Agbalépédogan
SL9997-QX,1/1/2021,bois,386,22.99,311.97,Jean,Particulier,Bè
OE4741-NB,3/4/2017,bois,644,5.79,320.84,Colette,Entrepreneur,Agbalepedogan
PO0412-SR,10/3/2018,bois,878,12.99,398.52,Jean,Entrepreneur,Adakpamé
ZM1925-GE,7/8/2020,ciment,508,2.49,398.3,Julien,Entrepreneur,Agbalepedogan
EL1305-PY,1/1/2021,brique,553,249.99,188.66,Julien,Maçon,Agbalepedogan
SY3256-SV,3/4/2017,brique,688,19.99,322.05,Ana,Maçon,Agbalepedogan
OO7730-SG,5/12/2019,brique,207,45,456.58,Julien,Entrepreneur,Be Klikame
EY3477-BU,3/4/2017,acier,37,249.99,192.06,Jean,Maçon,Agbalepedogan
DK9114-GL,7/8/2020,acier,709,6.29,278.79,Luc,Maçon,Bè
ST5089-QV,3/4/2017,ciment,992,32.99,274.63,Jean,Entrepreneur,Aflao Gakli
BH7339-UY,1/1/2021,bois,671,1.5,93.6,Carole,Particulier,Agbalepedogan
CZ7587-CM,7/8/2020,brique,157,49.99,310.58,Colette,Particulier,Agbalepedogan
AW9401-LJ,1/1/2021,brique,382,3.59,358.31,Colette,Entrepreneur,Agbalepedo
QQ2114-UU,10/3/2018,bois,130,129.99,133.64,Carole,Maçon,Agbalepedogan
OK8910-GU,3/4/2017,verre,460,4.49,87.52,Luc,Entrepreneur,Agbalepedogan
RS0591-EM,1/1/2021,verre,884,10.99,423.2,Carole,Particulier,Nyékonakpoé
BL0120-JD,3/4/2017,bois,406,2.49,230.3,Carole,Maçon,Agbalépédogan
UL2146-NN,5/12/2019,ciment,105,4.99,66.86,Carole,Entrepreneur,Agbalépédogan
HF7744-OV,3/4/2017,ciment,619,6.99,327.48,Luc,Entrepreneur,Agbalépédogan
ZY5901-IB,3/4/2017,brique,784,39.99,493.67,Luc,Entrepreneur,Agbalépédogan
NR8354-HT,7/8/2020,ciment,98,24.99,214.92,Jean,Entrepreneur,Bè
PS8428-SH,10/3/2018,bois,317,79.99,393.04,Ana,Particulier,Nyékonakpoé
IJ9889-CX,7/8/2020,acier,88,99.99,252.36,Jean,Particulier,Djidjolé
SG1573-OE,3/4/2017,brique,600,1.89,62.74,Ana,Particulier,Agbalepedogan
YJ9354-OO,7/8/2020,verre,74,4.49,268.33,Carole,Particulier,Agoe
TT6442-OB,3/4/2017,ciment,621,39.99,231.45,Ana,Particulier,Agoe
QC2932-RR,1/1/2021,ciment,914,49.99,54.98,Carole,Particulier,Agbalepedogan
OP9576-IY,10/3/2018,bois,1000,8.99,289.98,Carole,Particulier,Agbalépédogan
DV6750-CM,10/3/2018,verre,280,79.99,186.85,Julien,Maçon,Be Klikame
BN6020-DE,3/4/2017,bois,65,109.99,498.78,Ana,Maçon,Agbalépédogan
OP6765-PO,5/12/2019,ciment,180,2.29,149.74,Julien,Maçon,Kodjoviakopé
HL4833-SF,1/1/2021,verre,23,4.99,445.04,Luc,Entrepreneur,Agbalépédogan
ZA1850-DZ,10/3/2018,brique,19,8.99,86.66,Colette,Maçon,Agbalepedogan
AC0269-PZ,5/12/2019,verre,442,29.99,471.64,Carole,Particulier,Agbalepedo
BD5801-RC,10/3/2018,acier,273,3.99,393.74,Ana,Particulier,Agoe
VY6649-GD,5/12/2019,brique,691,9.99,102.59,Julien,Particulier,Agbalépédogan
JO7917-OL,10/3/2018,ciment,29,2.49,166.66,Luc,Particulier,Agbalepedogan
ZO1775-QO,10/3/2018,verre,202,19.99,195.1,Colette,Particulier,Agbalepedogan
IY4239-ND,3/4/2017,acier,131,22.99,166.24,Julien,Entrepreneur,Agbalepedogan
BH1076-AW,5/12/2019,acier,462,79.99,199.84,Jean,Entrepreneur,Agbalepedogan
MO1236-QA,1/1/2021,brique,523,5.99,144.35,Luc,Maçon,Bè
RV8734-XD,5/12/2019,bois,77,5.99,191.8,Ana,Entrepreneur,Agbalépédogan
HA1263-MV,10/3/2018,bois,233,1.89,306.06,Jean,Maçon,Adakpamé
DU9232-QC,3/4/2017,ciment,31,29.99,346.52,Julien,Particulier,Agbalépédogan
DK6485-YF,3/4/2017,brique,12,3.49,453.83,Carole,Particulier,Agbalepedogan
PI4609-ZY,10/3/2018,acier,849,15.99,181.64,Carole,Particulier,Agbalepedogan
MY2216-VN,5/12/2019,verre,712,19.99,380.79,Luc,Particulier,Agbalépédogan
UV4269-ZP,3/4/2017,ciment,832,39.99,469.67,Ana,Particulier,Agbalepedogan
TT7579-SE,7/8/2020,ciment,274,29.99,281.43,Luc,Maçon,Bè
AB9115-CL,5/12/2019,verre,676,49.95,296.42,Jean,Entrepreneur,Agbalépédogan
LW3260-IU,1/1/2021,ciment,150,79.99,298.12,Carole,Particulier,Agbalepedogan
JR8389-QX,7/8/2020,ciment,912,59.99,178.11,Carole,Entrepreneur,Agbalepedogan
NI2509-EP,3/4/2017,brique,577,39.99,73.72,Julien,Particulier,Kodjoviakopé
ID4621-IA,7/8/2020,verre,157,59.99,486.66,Carole,Entrepreneur,Agbalépédogan
WU4071-RG,3/4/2017,acier,540,9.99,182.73,Luc,Entrepreneur,Kodjoviakopé
XS9536-NI,1/1/2021,verre,477,6.99,369.74,Julien,Entrepreneur,Agbalépédogan
WP1222-PS,7/8/2020,brique,455,4.99,125.01,Colette,Maçon,Agbalepedo
TL2107-IV,7/8/2020,acier,216,3.99,418.65,Colette,Particulier,Agbalepedogan
BT0874-ZN,5/12/2019,brique,955,1.89,474.23,Luc,Entrepreneur,Agbalépédogan
VV3594-SP,5/12/2019,bois,312,3.29,488.71,Ana,Particulier,Nyékonakpoé
NI7949-HW,7/8/2020,brique,922,99.99,143.35,Jean,Entrepreneur,Nyékonakpoé
HQ7233-NI,10/3/2018,brique,329,2.99,286.63,Colette,Particulier,Agbalépédogan
ED8127-CO,3/4/2017,verre,561,14.99,382.31,Colette,Particulier,Adakpamé
UA0088-KO,1/1/2021,acier,430,5.49,423.25,Jean,Particulier,Agbalépédogan
PA3473-KC,3/4/2017,ciment,774,49.99,229.08,Carole,Particulier,Agbalépédogan
VI9965-AP,7/8/2020,ciment,833,24.99,359.02,Colette,Maçon,Agbalepedogan
KS1962-PQ,3/4/2017,ciment,934,2.99,184.6,Colette,Entrepreneur,Agbalépédogan
LY5191-LW,10/3/2018,ciment,164,3.99,397.08,Carole,Maçon,Agbalépédogan
PH2346-KT,5/12/2019,ciment,687,3.49,324.58,Carole,Particulier,Agbalepedogan
ZN9475-QA,3/4/2017,verre,1,69.99,65.09,Luc,Particulier,Agbalépédogan
QE1863-OD,10/3/2018,acier,748,6.49,483,Julien,Entrepreneur,Nyékonakpoé
XE7210-AY,3/4/2017,brique,782,29.99,472.89,Colette,Particulier,Adakpamé
HY0315-TW,1/1/2021,brique,501,34.99,411.99,Carole,Entrepreneur,Agbalepedogan
LR5388-SD,10/3/2018,ciment,943,9.99,449.08,Ana,Entrepreneur,Agbalépédogan
FU6518-AJ,7/8/2020,verre,689,3.99,359.68,Colette,Maçon,Agbalépédogan
RU7257-YJ,1/1/2021,bois,986,3.49,418.69,Colette,Entrepreneur,Djidjolé
EI8062-HG,1/1/2021,brique,77,79.99,234.66,Colette,Maçon,Kodjoviakopé
HX3185-OQ,1/1/2021,bois,931,3.49,52.46,Carole,Entrepreneur,Djidjolé
VC4286-BL,1/1/2021,verre,745,30,420.09,Ana,Maçon,Agbalépédogan
IS6790-MX,3/4/2017,bois,713,4.49,279.38,Luc,Maçon,Nyékonakpoé
CG4892-ZZ,5/12/2019,brique,724,3.29,61.31,Jean,Maçon,Agbalepedogan
LN1902-DC,1/1/2021,acier,35,2.99,172.76,Jean,Particulier,Aflao Gakli
GF0958-XM,7/8/2020,brique,238,2.79,148.05,Jean,Particulier,Aflao Gakli
ZW6763-TX,7/8/2020,acier,620,2.99,192.48,Luc,Entrepreneur,Agbalepedogan
YR9194-MT,1/1/2021,bois,805,49.99,467.11,Julien,Particulier,Agbalépédogan
DH6249-IV,7/8/2020,verre,238,6.49,229.59,Luc,Particulier,Agbalepedogan
ST1840-HQ,5/12/2019,verre,711,39.99,460.99,Julien,Entrepreneur,Agbalepedogan
JT3618-FP,5/12/2019,verre,136,39.99,339.35,Jean,Particulier,Agbalépédogan
ZD1306-RO,10/3/2018,acier,766,39.99,386.64,Luc,Entrepreneur,Agbalépédogan
NF5791-HI,10/3/2018,bois,584,3.79,163.41,Carole,Maçon,Agbalépédogan
MS2760-IL,5/12/2019,ciment,539,3.49,198.44,Ana,Maçon,Agoe
HP5574-TP,3/4/2017,verre,738,59.99,492.8,Jean,Entrepreneur,Agbalepedogan
PS6549-GR,10/3/2018,brique,51,14.99,128.47,Ana,Maçon,Nyékonakpoé
WX3329-NQ,3/4/2017,brique,555,8.99,468.2,Carole,Entrepreneur,Agbalépédo
OM9018-BA,10/3/2018,bois,240,2.99,466.22,Julien,Maçon,Agbalépédogan
ZS1873-ZI,5/12/2019,acier,460,29.99,53.58,Jean,Entrepreneur,Agbalepedogan
KY6740-DS,10/3/2018,ciment,376,3.99,410.22,Luc,Particulier,Agbalépédogan
UG2091-IC,5/12/2019,bois,757,99.99,124.02,Jean,Maçon,Aflao Gakli
WO3403-CA,5/12/2019,brique,930,3.49,51.64,Colette,Maçon,Agbalépédo
GK3584-HM,10/3/2018,acier,82,10.99,74.49,Julien,Maçon,Agbalepedogan
WH5388-RG,5/12/2019,brique,310,2.99,489.74,Jean,Entrepreneur,Agbalépédo
AO4431-EV,1/1/2021,ciment,959,0.99,465.1,Colette,Maçon,Agbalépédogan
FV9579-GC,7/8/2020,ciment,499,29.99,251.73,Jean,Particulier,Kodjoviakopé
HU9766-JG,1/1/2021,verre,153,349.99,475.18,Luc,Maçon,Agbalepedogan
AS6048-EH,7/8/2020,ciment,629,2.49,54.03,Jean,Particulier,Agbalépédogan
SU5852-OL,3/4/2017,acier,585,29.99,468.28,Ana,Entrepreneur,Agbalépédogan
UG8900-BV,5/12/2019,verre,297,34.99,499.97,Julien,Entrepreneur,Aflao Gakli
CQ7227-JZ,3/4/2017,verre,591,34.99,286.78,Luc,Particulier,Kodjoviakopé
LG2152-XH,5/12/2019,ciment,453,69.99,149.29,Jean,Maçon,Agbalepedogan
XO1513-VJ,7/8/2020,bois,867,12.99,157.04,Carole,Particulier,Agbalepedogan
QW6263-DZ,7/8/2020,verre,777,899.99,216.81,Colette,Maçon,Kodjoviakopé
OL7473-XD,5/12/2019,bois,82,19.99,167.87,Luc,Particulier,Adakpamé
JS7161-HW,1/1/2021,verre,152,3.29,234,Julien,Entrepreneur,Agbalépédogan
VH8262-XB,7/8/2020,bois,645,199.99,484.38,Luc,Particulier,Aflao Gakli
ZQ9077-ZT,3/4/2017,acier,360,11.99,399.35,Jean,Maçon,Agbalepedogan
OD9116-TI,10/3/2018,acier,526,2.79,99.5,Jean,Maçon,Be Klikame
KV8772-DY,5/12/2019,brique,702,17.99,153.12,Ana,Entrepreneur,Agbalépédogan
DC9589-KB,1/1/2021,verre,71,22.99,261.63,Ana,Particulier,Agbalepedogan
LQ7070-HA,5/12/2019,acier,491,29.99,51.81,Julien,Entrepreneur,Agbalépédogan
JJ2859-OZ,3/4/2017,brique,606,3.19,393.69,Jean,Maçon,Agbalépédogan
HS5088-CK,7/8/2020,bois,818,39.99,340.47,Carole,Maçon,Aflao Gakli
GO4260-BD,10/3/2018,bois,969,6.99,409.72,Luc,Maçon,Agoe
VY1595-IF,10/3/2018,bois,150,7.99,73.7,Carole,Particulier,Agbalépédogan
FU6607-UW,5/12/2019,brique,954,2.89,404.88,Luc,Entrepreneur,Agbalépédogan
PR5453-QH,10/3/2018,brique,536,79.99,282.03,Jean,Entrepreneur,Agbalépédo
FR8136-RB,1/1/2021,brique,151,129.99,59.34,Carole,Maçon,Agbalépédogan
SI5794-NW,1/1/2021,brique,21,8.99,351.95,Jean,Particulier,Djidjolé
LA3956-UB,1/1/2021,acier,669,9.99,413.23,Julien,Entrepreneur,Agbalepedogan
HQ7729-KR,10/3/2018,verre,699,12.99,446.46,Luc,Maçon,Be Klikame
YB1283-ZU,1/1/2021,ciment,138,4.29,470.36,Julien,Entrepreneur,Agbalepedogan
VO6473-TJ,7/8/2020,verre,366,5.49,391.13,Luc,Entrepreneur,Kodjoviakopé
PN9700-WF,3/4/2017,acier,390,6.29,170.96,Ana,Entrepreneur,Agbalepedogan
OQ3260-HD,3/4/2017,bois,765,119.99,298.09,Jean,Entrepreneur,Agbalepedogan
WC8299-SN,5/12/2019,verre,93,89.99,496.83,Jean,Entrepreneur,Adakpamé
YS1380-BS,1/1/2021,brique,539,29.99,262.07,Jean,Maçon,Aflao Gakli
TY0333-LY,5/12/2019,verre,591,29.99,173.3,Colette,Particulier,Agbalepedogan
IA7733-EU,3/4/2017,acier,856,3.99,326.85,Julien,Maçon,Agbalépédogan
GB5614-KS,1/1/2021,ciment,60,3.99,402.29,Luc,Particulier,Agbalépédo
UG9846-OD,3/4/2017,verre,611,3.79,121.99,Luc,Particulier,Agbalépédogan
YA1147-VF,5/12/2019,brique,394,4.5,490.19,Ana,Particulier,Kodjoviakopé
PH2439-LY,7/8/2020,acier,94,12.99,327.68,Colette,Entrepreneur,Agbalépédogan
KQ8880-WX,10/3/2018,verre,390,199.99,99.91,Carole,Maçon,Agbalépédogan
HS5200-CL,3/4/2017,ciment,229,4.49,397.34,Julien,Maçon,Agbalepedogan
AM3077-RQ,1/1/2021,bois,973,3.29,234.94,Carole,Entrepreneur,Agbalépédogan
GV4825-UI,5/12/2019,ciment,274,49.99,392.4,Colette,Particulier,Adakpamé
KS5262-LZ,7/8/2020,bois,362,9.99,173.6,Colette,Maçon,Be Klikame
JW1914-PS,5/12/2019,acier,125,2.79,142.63,Ana,Maçon,Be Klikame
FN3456-GY,10/3/2018,acier,722,1.89,205.41,Jean,Particulier,Agbalepedo
WF7643-OD,1/1/2021,brique,644,1.99,98.39,Carole,Entrepreneur,Agbalépédogan
SL9682-CU,3/4/2017,brique,655,29.99,109.66,Ana,Maçon,Agbalepedogan
BQ2559-JS,10/3/2018,verre,634,24.99,455.53,Luc,Particulier,Agbalepedogan
GB2360-ZE,3/4/2017,bois,426,10.99,220.66,Carole,Entrepreneur,Agbalepedogan
OI3619-PF,3/4/2017,ciment,489,9.99,371.5,Ana,Maçon,Agbalepedogan
ID7537-DH,7/8/2020,brique,111,2.29,298.06,Luc,Particulier,Agbalépédogan
AR8732-DA,10/3/2018,acier,310,18.99,285.32,Carole,Entrepreneur,Agbalépédogan
TZ7876-YC,1/1/2021,ciment,360,4.49,306.46,Carole,Entrepreneur,Agbalépédogan
QL2135-DS,5/12/2019,verre,434,4.19,110.85,Ana,Particulier,Bè
YB9388-QI,3/4/2017,acier,444,11.99,253.86,Jean,Entrepreneur,Agbalepedogan
MY6452-SF,3/4/2017,acier,716,39.99,281.8,Jean,Entrepreneur,Agbalépédo
SJ4282-WY,3/4/2017,verre,527,15.99,65.09,Julien,Entrepreneur,Agbalépédogan
YS6403-QL,10/3/2018,acier,617,9.49,129.15,Julien,Maçon,Agbalépédogan
IR8294-UB,10/3/2018,brique,44,15.99,235.69,Ana,Maçon,Be Klikame
CE9922-YM,5/12/2019,acier,308,1.39,456.28,Julien,Entrepreneur,Agbalépédogan
YL4523-YY,7/8/2020,verre,290,59.99,336.48,Luc,Maçon,Agbalepedogan
QV2049-SW,5/12/2019,ciment,448,6.49,176.29,Luc,Particulier,Agbalépédogan
VC8378-ST,7/8/2020,acier,805,10.99,326.39,Luc,Entrepreneur,Agbalépédogan
NM0164-BS,1/1/2021,verre,550,6.49,280.47,Jean,Entrepreneur,Aflao Gakli
BA2080-VM,5/12/2019,acier,730,1.69,334.02,Ana,Maçon,Aflao Gakli
HR9975-PE,1/1/2021,bois,565,6.99,337.72,Julien,Particulier,Agoe
LG9235-EL,1/1/2021,verre,455,2.49,194.47,Colette,Entrepreneur,Agbalepedogan
IA8592-YV,7/8/2020,brique,16,5.99,182.64,Ana,Particulier,Djidjolé
GS4637-UO,1/1/2021,ciment,414,14.99,328.99,Ana,Particulier,Agbalepedogan
QG4704-QN,10/3/2018,acier,677,29.99,76.21,Ana,Maçon,Agbalépédo
NT2709-YN,7/8/2020,bois,690,5.29,79.78,Ana,Entrepreneur,Agbalepedogan
UR3007-KA,10/3/2018,ciment,878,29.99,158.27,Colette,Entrepreneur,Agbalepedogan
GC6251-NZ,3/4/2017,acier,138,349.99,330.89,Luc,Entrepreneur,Agbalepedogan
TU0340-CB,7/8/2020,acier,124,3.99,169.33,Ana,Particulier,Agbalepedogan
NX1999-CS,1/1/2021,brique,74,24.99,88.74,Colette,Particulier,Be Klikame
NA8260-XU,10/3/2018,verre,811,4.49,275.39,Carole,Entrepreneur,Agbalépédogan
ZB1381-PN,7/8/2020,verre,719,19.99,494.75,Luc,Particulier,Agbalepedogan
LC0367-GC,10/3/2018,ciment,507,4.99,412.33,Colette,Maçon,Agbalepedogan
XC6595-AK,10/3/2018,ciment,559,3.79,497.08,Jean,Particulier,Agbalepedogan
YS1194-DT,10/3/2018,bois,313,3.99,124.36,Luc,Particulier,Agbalepedogan
CU6179-UY,5/12/2019,ciment,997,39.99,492.38,Jean,Particulier,Agoe
UR7641-OC,7/8/2020,brique,496,59.99,417.47,Ana,Entrepreneur,Agbalepedogan
GN4102-FY,10/3/2018,verre,355,34.99,339.46,Carole,Maçon,Agbalépédogan
KE8394-XP,3/4/2017,verre,942,3.99,423.09,Luc,Maçon,Nyékonakpoé
IZ4206-EF,10/3/2018,verre,468,7.49,405.68,Carole,Particulier,Agbalepedogan
AV7221-HI,10/3/2018,bois,997,19.99,452.31,Jean,Maçon,Agbalepedogan
UK5193-LS,3/4/2017,acier,84,34.99,55.18,Julien,Particulier,Bè
VL9875-OY,10/3/2018,verre,645,12.99,365.24,Julien,Particulier,Agbalépédogan
AK4779-UV,1/1/2021,ciment,732,19.99,224.29,Luc,Particulier,Agoe
YR5639-IH,1/1/2021,bois,391,2.69,250.07,Colette,Particulier,Agbalepedogan
SB9942-OI,5/12/2019,bois,908,4.29,200.38,Ana,Particulier,Agbalepedogan
XW1358-CR,7/8/2020,brique,349,4.59,88.63,Julien,Maçon,Agbalepedogan
SF8832-IJ,1/1/2021,verre,764,5.49,450.23,Ana,Maçon,Agbalépédogan
MA4676-BZ,7/8/2020,brique,282,79.99,194.14,Colette,Entrepreneur,Agbalépédogan
RI8676-TN,3/4/2017,verre,955,4.49,420.77,Julien,Maçon,Agbalépédogan
SD7222-WV,7/8/2020,bois,462,2.49,72.01,Colette,Maçon,Agbalépédogan
IC6175-OB,1/1/2021,bois,918,149.99,322.63,Colette,Maçon,Agbalepedo
FM9274-MH,10/3/2018,bois,398,899.99,217.05,Jean,Entrepreneur,Adakpamé
QP5475-IO,7/8/2020,brique,511,49.99,211.04,Colette,Entrepreneur,Kodjoviakopé
BG5056-IR,3/4/2017,bois,623,49.99,246.99,Julien,Particulier,Kodjoviakopé
ZC1891-AP,3/4/2017,bois,497,79.99,332.78,Ana,Entrepreneur,Agbalépédogan
RK4320-QM,5/12/2019,bois,843,1.39,362.23,Carole,Particulier,Nyékonakpoé
PD6286-QB,5/12/2019,brique,146,4.99,118.72,Ana,Entrepreneur,Djidjolé
BG5646-LM,10/3/2018,brique,731,44.99,414.38,Jean,Entrepreneur,Aflao Gakli
ZA6323-WV,1/1/2021,verre,413,1.99,113.8,Jean,Particulier,Be Klikame
ZO3200-XQ,7/8/2020,verre,148,249.99,427.11,Carole,Particulier,Agbalepedo
AN1850-NG,1/1/2021,brique,156,29.99,88.79,Carole,Maçon,Agbalepedogan
VV8706-NF,7/8/2020,ciment,434,29.99,358.76,Carole,Entrepreneur,Agbalépédogan
TB1868-SN,10/3/2018,bois,945,59.99,373.94,Jean,Entrepreneur,Agbalépédogan
OV8872-IE,10/3/2018,acier,810,14.99,150.51,Ana,Particulier,Agbalepedogan
LU6097-PW,5/12/2019,verre,658,6.99,252.42,Ana,Particulier,Agbalépédogan
XI0561-VK,5/12/2019,acier,341,22.99,117.4,Ana,Entrepreneur,Agbalépédogan
YD3934-WD,3/4/2017,acier,264,39.99,252.21,Julien,Maçon,Adakpamé
VV5958-XR,5/12/2019,verre,885,19.99,342.32,Colette,Entrepreneur,Agbalepedogan
NO3090-WA,1/1/2021,brique,233,29.99,350.27,Carole,Maçon,Agbalepedogan
